States:S0, S1000, S2000, S3000, S4000, S5000, S6000, S7000, S8000, S9000, S10000
Alphabet:1000, 2000, 5000, 10000, A, B, C
Start:S0
Accept:S3000, S4000, S6000
Transitions:
S0 1000 S1000
S0 2000 S2000
S0 5000 S5000
S0 10000 S10000
S0 A S0
S0 B S0
S0 C S0
S1000 1000 S2000
S1000 2000 S3000
S1000 5000 S6000
S1000 A S1000
S1000 B S1000
S1000 C S1000
S2000 1000 S3000
S2000 2000 S4000
S2000 5000 S7000
S2000 A S2000
S2000 B S2000
S2000 C S2000
S3000 1000 S4000
S3000 2000 S5000
S3000 5000 S8000
S3000 A S0
S3000 B S3000
S3000 C S3000
S4000 1000 S5000
S4000 2000 S6000
S4000 5000 S9000
S4000 A S1000
S4000 B S0
S4000 C S4000
S5000 1000 S6000
S5000 2000 S7000
S5000 5000 S10000
S5000 A S2000
S5000 B S1000
S5000 C S5000
S6000 1000 S7000
S6000 2000 S8000
S6000 A S3000
S6000 B S2000
S6000 C S0
S7000 1000 S8000
S7000 2000 S9000
S7000 A S4000
S7000 B S3000
S7000 C S1000
S8000 1000 S9000
S8000 2000 S10000
S8000 A S5000
S8000 B S4000
S8000 C S2000
S9000 1000 S10000
S9000 A S6000
S9000 B S5000
S9000 C S3000
S10000 A S7000
S10000 B S6000
S10000 C S4000
